index,Date_measurement,RWZI_AWZI_name,RNA_flow_per_100000
143421,2024-01-04,Tilburg,152391450355795
143653,2024-01-08,Tilburg,89009641179579
143846,2024-01-14,Tilburg,59000200020557
144101,2024-01-17,Tilburg,30278987661483
144306,2024-01-20,Tilburg,62048563422019
144425,2024-01-23,Tilburg,21886432948432
144670,2024-01-26,Tilburg,20304001747684
144920,2024-02-01,Tilburg,38879546612346
145020,2024-02-04,Tilburg,29480442639312
145346,2024-02-07,Tilburg,44068216318268
145517,2024-02-11,Tilburg,27861989627098
145587,2024-02-13,Tilburg,3600122628241
145754,2024-02-15,Tilburg,22259210038933
146434,2024-02-25,Tilburg,3982566527110
146519,2024-02-28,Tilburg,13659160022436
146649,2024-03-02,Tilburg,2654558927239
147240,2024-03-12,Tilburg,8266137167593
147433,2024-03-14,Tilburg,5235398610189
147769,2024-03-20,Tilburg,4894532202556
147941,2024-03-24,Tilburg,15358126606565
148073,2024-03-26,Tilburg,4237710841470
148337,2024-03-28,Tilburg,0
148431,2024-04-01,Tilburg,3286913309194
148997,2024-04-11,Tilburg,1747772291067
149088,2024-04-13,Tilburg,4186195797774
149370,2024-04-17,Tilburg,2447400889554
149508,2024-04-19,Tilburg,0
149677,2024-04-23,Tilburg,1166195479255
149888,2024-04-25,Tilburg,0
150328,2024-05-05,Tilburg,4885755772001
150520,2024-05-07,Tilburg,11168147178344
151019,2024-05-15,Tilburg,12700211338165
151459,2024-05-25,Tilburg,5096411870862
151561,2024-05-27,Tilburg,16026934386224
151787,2024-05-31,Tilburg,15266854176463
152234,2024-06-08,Tilburg,16244769586815
152462,2024-06-12,Tilburg,31976981929056
152601,2024-06-16,Tilburg,28487222472384
152701,2024-06-18,Tilburg,57334843788906
152893,2024-06-20,Tilburg,77138636439334
153368,2024-06-30,Tilburg,157578544793394
153520,2024-07-02,Tilburg,63198591000120
153702,2024-07-06,Tilburg,76252020239257
153992,2024-07-10,Tilburg,150496332993869
154424,2024-07-18,Tilburg,99100166442974
154732,2024-07-24,Tilburg,92704316909204
154852,2024-07-26,Tilburg,196881666649119
155260,2024-08-04,Tilburg,48064712004532
155435,2024-08-06,Tilburg,62388339331818
155494,2024-08-08,Tilburg,54154948194390
155704,2024-08-12,Tilburg,60022417033013
156812,2024-08-31,Tilburg,81929322195085
157155,2024-09-08,Tilburg,52396975399701
157427,2024-09-11,Tilburg,123337510167555
157515,2024-09-15,Tilburg,92868221425793
157719,2024-09-17,Tilburg,57859180685470
157877,2024-08-29,Tilburg,164555223718173
158001,2024-09-23,Tilburg,53062207910347
158160,2024-09-26,Tilburg,75873875839922
158413,2024-09-30,Tilburg,123937632925907
159041,2024-10-09,Tilburg,162584220889411
159103,2024-10-12,Tilburg,108833735100609
159291,2024-10-15,Tilburg,92071458019817
159734,2024-10-24,Tilburg,65841630883233
160111,2024-10-31,Tilburg,76067145326550
160481,2024-11-06,Tilburg,35608802254037
160482,2024-11-10,Tilburg,47492729072180
160730,2024-11-12,Tilburg,99568344373039
160955,2024-11-15,Tilburg,44358616262407
161114,2024-11-18,Tilburg,44822161116123
161274,2024-11-24,Tilburg,11849186663386
161619,2024-11-27,Tilburg,40253638233477
161712,2024-11-30,Tilburg,25328191014915
161793,2024-12-02,Tilburg,72512035317403
162040,2024-12-06,Tilburg,17197966633101
162140,2024-12-10,Tilburg,9459999235724
162440,2024-12-12,Tilburg,49065871500054
162678,2024-12-18,Tilburg,51693904192645
